Sample in Buffer,Sample in Window,TRIGGER,VISION_i/system_ila_0/inst/probe0_1[2:0],VISION_i/system_ila_0/inst/probe1_1,VISION_i/system_ila_0/inst/probe2_1,VISION_i/system_ila_0/inst/probe3_1,VISION_i/system_ila_0/inst/probe4_1,VISION_i/system_ila_0/inst/probe5_1,VISION_i/system_ila_0/inst/probe6_1,VISION_i/system_ila_0/inst/probe7_1,VISION_i/system_ila_0/inst/probe8_1[10:0],VISION_i/system_ila_0/inst/SLOT_0_BRAM_en_1,VISION_i/system_ila_0/inst/SLOT_0_BRAM_rst_1,VISION_i/system_ila_0/inst/SLOT_0_BRAM_dout_1[31:0],VISION_i/system_ila_0/inst/SLOT_0_BRAM_addr_1[31:0]
0,0,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
1,1,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
2,2,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
3,3,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
4,4,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
5,5,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
6,6,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
7,7,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
8,8,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
9,9,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
10,10,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
11,11,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
12,12,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
13,13,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
14,14,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
15,15,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
16,16,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
17,17,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
18,18,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
19,19,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
20,20,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
21,21,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
22,22,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
23,23,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
24,24,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
25,25,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
26,26,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
27,27,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
28,28,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
29,29,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
30,30,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
31,31,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
32,32,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
33,33,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
34,34,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
35,35,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
36,36,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
37,37,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
38,38,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
39,39,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
40,40,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
41,41,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
42,42,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
43,43,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
44,44,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
45,45,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
46,46,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
47,47,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
48,48,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
49,49,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
50,50,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
51,51,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
52,52,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
53,53,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
54,54,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
55,55,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
56,56,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
57,57,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
58,58,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
59,59,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
60,60,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
61,61,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
62,62,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
63,63,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
64,64,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
65,65,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
66,66,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
67,67,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
68,68,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
69,69,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
70,70,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
71,71,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
72,72,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
73,73,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
74,74,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
75,75,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
76,76,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
77,77,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
78,78,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
79,79,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
